Year,Report ID,Country,License,Commodity Type Overview,Commodity_type,Title / Project type,Project Name / concession layer,Project_ID,Project_Uri,Company_Name,Company_ID,Company share of project,IsOperator,Production Year,Production_volume,Production_unit,Price from EITI Report,Unit,Payment received by government (US$),Payment by company (US$),Company,Currency,Data,Company,Value
#year,#eitiSrouce,#country,#license,#project+commodityType,#project+commodityDetails,,#project,#project+identifier,#project+url,#project+company,#project+company+identifier,#project+company+share,#project+company+isOperator,#project+production+year,#project+production+volume,#project+production+unit,#project+production+price,#project+production+priceUnit,#governmentReceipt,#companyPayment,#companyPayment+country,#companyPayment+currency,#companyPayment+date,#companyPayment+company,#companyPayment+value
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,North Sumatra Offshore,,,Mobil Expl. Indo (NSO) Inc.,,,,2010,"389,370",barrels,Not given,,"561,627,000","561,627,000",Indonesia,USD,2010,Mobil Expl. Indo (NSO) Inc.,"561,627,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,North Sumatra Offshore,,,,,,,2010,"70,461,263",MSCF,Not given,,,,Indonesia,USD,2010,0,0
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,B Block,,,ExxonMobil Oil Indonesia Inc.,,,,2010,"1,334,436",barrels,Not given,,"403,217,000","403,141,000",Indonesia,USD,2010,ExxonMobil Oil Indonesia Inc.,"403,141,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,B Block,,,,,,,2010,"39,664,433",MSCF,Not given,,,,Indonesia,USD,2010,0,0
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,Cepu,,,Mobil Cepu Ltd.,,,,2010,"6,772,071",barrels,Not given,,"72,533,000","72,533,000",Indonesia,USD,2010,Mobil Cepu Ltd.,"72,533,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Cepu,,,Ampolex (Cepu) PTE. Ltd,,,,2010,,,,,"199,000","199,000",Indonesia,USD,2010,Ampolex (Cepu) PTE. Ltd,"199,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Cepu,,,PT Pertamina EP Cepu,,,,2010,,,,,,,Indonesia,USD,2010,PT Pertamina EP Cepu,0
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Cepu,,,PT Sarana Patra Hulu Cepu,,,,2010,,,,,,,Indonesia,USD,2010,PT Sarana Patra Hulu Cepu,0
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Cepu,,,PT Blora Patragas Hulu,,,,2010,,,,,,,Indonesia,USD,2010,PT Blora Patragas Hulu,0
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Cepu,,,PT Asri Dharma Sejahtera,,,,2010,,,,,,,Indonesia,USD,2010,PT Asri Dharma Sejahtera,0
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Cepu,,,PT Petrogas Jatim Utama Cendana,,,,2010,,,,,,,Indonesia,USD,2010,PT Petrogas Jatim Utama Cendana,0
