Country,ConcessionName,ConcessionContractor,ConcessionDescription,ConcessionSource,ConcessionSourceDate,Retrieved at
#country,#license,#license+participant+company,#license+description,#source,#sourceDate,#retrievedAt
Indonesia,P39 South Kutai Lama Block,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North West Natuna,Santos Netherlands B.V.,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bangko Block,Petrochina International Bangko LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kasuri Block,Genting Oil Kasuri PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P49 X-rav,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sadang,Talisman Sadang B.V.,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Merangin II,PT Sele Raya Merangin Dua,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Gebang Block,JOB Pertamina-EMO Gebang LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Anambas,AWE Anambas PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Duyung,West Natuna Exploration LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South East Madura,PT Energie Mineral Langgeng,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Baronang,Lundin Baronang B.V,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Wiriagar Block,BP Wiriagar LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P11c Jawa Bagian Timur Area-5,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Tanjung,PT MRI Energy,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Semai II,Murphy Semai Oil Co. LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South East Sumatra,Cnooc SES LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P24 NAD-1 Block,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Lhokseumawe,PT Zaratex N.V.,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Belida,Orchard Energy West Belida LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Tonga,EMP Tonga,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P34 Sangata,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North East Bangkanai,Salamander Energy North East Bangkanai LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Nunukan,Pertamina Hulu Energi Nunukan Company,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Gunting,ExxonMobil E&P Indonesia Gunting LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
