Source,Source Date,True At,Country,Project Name / concession layer,Project_ID,Commodity Type Overview,Commodity_type,Date of participation data,Company_Name,Company_ID,Share,Is Operator,License_name,License_ID,Government,Organisation_Identifier,Production_volume,Production_unit,Price from EITI Report,Unit,Payment_type,Currency,Payment received by government (US$),Payment by company (US$)
#source,#sourceDate,#trueAt,#country,#project,#project+identifier,#commodity,#commodity+code,#participant+trueAt,#participant+company,#participant+company+identifier,#participant+share,#participant+isOperator,#license,#license+identifier,,,,,,,,,,
,,,Indonesia,South East Sumatera,,Oil & Gas,Oil,,CNOOC SES Ltd.,,,,,,,,"14,994,753",barrels,Not given,,,,"767,094,000","766,912,000"
,,,Indonesia,South East Sumatera,,Oil & Gas,Gas,,Inpex Sumatra Ltd/PHE Sumatra,,,,,,,,"23,989,265",MSCF,Not given,,,,"12,214,000","21,214,000"
,,,Indonesia,South East Sumatera,,Oil & Gas,,,KNOC Sumatra Ltd,,,,,,,,,,,,,,"7,195,000",
,,,Indonesia,South East Sumatera,,Oil & Gas,,,Salamander Energy (Sumatra) BV,,,,,,,,,,,,,,"3,598,000","3,598,000"
,,,Indonesia,South East Sumatera,,Oil & Gas,,,Orchard Energy Sumatra BV,,,,,,,,,,,,,,,
,,,Indonesia,South East Sumatera,,Oil & Gas,,,Fortuna Resources (Sunda) Ltd,,,,,,,,,,,,,,"2,049,000","2,049,000"
,,,Indonesia,South East Sumatera,,Oil & Gas,,,Talisman UK (South East Sumatra) Ltd,,,,,,,,,,,,,,"1,120,000","1,120,000"
,,,Indonesia,South East Sumatera,,Oil & Gas,,,Talisman Resources (Bahamas) Ltd,,,,,,,,,,,,,,"924,000","924,000"
,,,Indonesia,Muturi,,Oil & Gas,Oil,,BP Muturi Holdings BV,,,,,,,,"371,868",barrels,Not given,,,,"7,737,000","7,737,000"
,,,Indonesia,Muturi,,Oil & Gas,Gas,,CNOOC Muturia Ltd,,,,,,,,"54,631,085",MSCF,Not given,,,,"1,250,000","1,250,000"
,,,Indonesia,Muturi,,Oil & Gas,,,Indonesia Natural Gas Resources Muturi Inc,,,,,,,,,,,,,,"5,088,000","5,088,000"
,,,Indonesia,Coastal Plains Pekanbaru,,Oil & Gas,Oil,,JOB PT Bumi Siak Pusako-Pertamina Hulu,,,,,,,,"6,259,258",barrels,Not given,,,,"328,259,000","328,259,000"
,,,Indonesia,Coastal Plains Pekanbaru,,Oil & Gas,,,PT PHE CPP,,,,,,,,,,,,,,"17,243,000","17,243,000"
,,,Indonesia,Offshore Northwest Java,,Oil & Gas,Oil,,Pertamina Hulu Energi ONWJ Ltd.,,,,,,,,"9,902,748",barrels,Not given,,,,"497,209,000","497,209,000"
,,,Indonesia,Offshore Northwest Java,,Oil & Gas,Gas,,CNOOC ONWJ Ltd,,,,,,,,"74,149,557",MSCF,Not given,,,,"23,362,000","23,362,000"
,,,Indonesia,Offshore Northwest Java,,Oil & Gas,,,Itochu Oil Exploration Co. Ltd,,,,,,,,,,,,,,"862,000",
,,,Indonesia,Offshore Northwest Java,,Oil & Gas,,,PT PHE Jawa Ltd,,,,,,,,,,,,,,"8,033,000","8,033,000"
,,,Indonesia,Offshore Northwest Java,,Oil & Gas,,,Salamander Energy (Java) BV,,,,,,,,,,,,,,"3,733,000","3,733,000"
,,,Indonesia,Offshore Northwest Java,,Oil & Gas,,,Talisman Energy,,,,,,,,,,,,,,"4,010,000","4,010,000"
,,,Indonesia,West Madura,,Oil & Gas,Oil,,Pertamina Hulu Energi West Madura Offshore,,,,,,,,"3,707,980",barrels,Not given,,,,"-110,440,000","-110,440,000"
,,,Indonesia,West Madura,,Oil & Gas,Gas,,,,,,,,,,"30,182,148",MSCF,Not given,,,,,
,,,Indonesia,Tuban,,Oil & Gas,Oil,,JOB Pertamina - PetroChina East Java Ltd,,,,,,,,"3,902,484",barrels,Not given,,,,"107,591,000","107,591,000"
,,,Indonesia,Tuban,,Oil & Gas,Gas,,PT PHE Tuban East Java,,,,,,,,"2,378,410",MSCF,Not given,,,,"97,397,000","97,391,000"
,,,Indonesia,Tuban,,Oil & Gas,,,PT PHE Tuban,,,,,,,,,,,,,,"6,821,000","6,821,000"
,,,Indonesia,Salawati Island JOB,,Oil & Gas,Oil,,JOB Pertamina - PetroChina Salawati Ltd,,,,,,,,"1,108,250",barrels,Not given,,,,"17,451,000","17,451,000"
,,,Indonesia,Salawati Island JOB,,Oil & Gas,,,PT PHE Salawati,,,,,,,,,,,,,,"15,216,000","15,189,000"
,,,Indonesia,Salawati Island JOB,,Oil & Gas,,,Lundin Indonesia BV/RHP Salawati Island BV,,,,,,,,,,,,,,"947,000","947,000"
,,,Indonesia,Salawati Island JOB,,Oil & Gas,,,Pearl Oil (Island) Ltd/Petrogas (Island) Ltd,,,,,,,,,,,,,,"1,221,000","1,221,000"
,,,Indonesia,"Senoro - Toili, Sulawesi",,Oil & Gas,Oil,,PT Pertamina - Medco E&P Tomori Sulawesi,,,,,,,,"618,580",barrels,Not given,,,,"21,411,000","21,411,000"
,,,Indonesia,"Senoro - Toili, Sulawesi",,Oil & Gas,,,PT PHE Tomori,,,,,,,,,,,,,,"2,243,000","2,243,000"
,,,Indonesia,Pendopo-Raja JOB,,Oil & Gas,Oil,,JOB Pertamina-Golden Spike Energy Indonesia Ltd,,,,,,,,"404,463",barrels,Not given,,,,"10,674,000","10,674,000"
,,,Indonesia,Pendopo-Raja JOB,,Oil & Gas,Gas,,PT PHE Raja Tempirai,,,,,,,,"636,692",MSCF,Not given,,,,"6,363,000","6,363,000"
,,,Indonesia,Jabung,,Oil & Gas,Oil,,PetroChina International Jabung Ltd.,,,,,,,,"6,649,830",barrels,Not given,,,,"664,387,000","664,387,000"
,,,Indonesia,Jabung,,Oil & Gas,Gas,,PP Oil&Gas (Jabung-Indonesia) Ltd,,,,,,,,"57,017,376",MSCF,Not given,,,,"76,792,000","76,792,000"
,,,Indonesia,Jabung,,Oil & Gas,,,Petronas Carigali Jabung Ltd,,,,,,,,,,,,,,"73,910,000","73,910,000"
,,,Indonesia,Jabung,,Oil & Gas,,,PT PHE Jabung,,,,,,,,,,,,,,"47,534,000","47,534,000"
,,,Indonesia,Salawati Basin,,Oil & Gas,Oil,,Petrochina International Bermuda Ltd,,,,,,,,"2,271,599",barrels,Not given,,,,"98,317,000","98,317,000"
,,,Indonesia,Salawati Basin,,Oil & Gas,Gas,,Pearl Oil (Basin) Ltd/Petrogas (Basin) Ltd,,,,,,,,"481,163",MSCF,Not given,,,,"2,509,000","2,509,000"
,,,Indonesia,Salawati Basin,,Oil & Gas,,,Lundin International BV/RHP Salawati Basin BV,,,,,,,,,,,,,,"1,909,000","1,909,000"
,,,Indonesia,Salawati Basin,,Oil & Gas,,,Patrogas (Basin) td,,,,,,,,,,,,,,,
,,,Indonesia,Salawati Basin,,Oil & Gas,,,RHP Salawati Basin,,,,,,,,,,,,,,,
,,,Indonesia,Salawati Basin,,Oil & Gas,,,PT PHE Salawati Basin,,,,,,,,,,,,,,"678,000","678,000"
,,,Indonesia,Bangko,,Oil & Gas,Oil,,PetroChina International Bangko Ltd.,,,,,,,,"22,999",barrels,Not given,,,,"226,000","226,000"
,,,Indonesia,Berau,,Oil & Gas,Oil,,BP Berau Ltd.,,,,,,,,"1,235,929",barrels,Not given,,,,"45,764,000","45,764,000"
,,,Indonesia,Berau,,Oil & Gas,Gas,,Ml Berau BV,,,,,,,,"181,570,074",MSCF,Not given,,,,"9,761,000","9,761,000"
